Time (s),Load (N),Tensile strain (Extension) (mm/mm),Tensile extension (mm),Tensile stress (MPa),Sample,Mix
8.3,660.19592,0.0929,1.3935,62.69786,3,1
8.4,658.98248,0.094,1.41,62.58262,3,1
8.5,657.43719,0.09511,1.42662,62.43586,3,1
8.6,655.92249,0.09622,1.44331,62.29202,3,1
8.7,654.38501,0.09733,1.46,62.146,3,1
8.8,652.60797,0.09845,1.47675,61.97724,3,1
8.9,650.66113,0.09956,1.49337,61.79235,3,1
9,648.52808,0.10067,1.51006,61.58978,3,1
9.1,646.83295,0.10179,1.52681,61.42879,3,1
9.2,644.62817,0.10289,1.54331,61.21941,3,1
9.3,642.2594,0.104,1.55994,60.99445,3,1
9.4,640.23438,0.10511,1.57669,60.80214,3,1
9.5,637.87769,0.10622,1.59331,60.57833,3,1
9.6,635.65295,0.10733,1.60994,60.36705,3,1
9.7,632.966,0.10843,1.62644,60.11187,3,1
9.8,630.58362,0.10956,1.64337,59.88562,3,1
9.9,628.46991,0.11067,1.66012,59.68488,3,1
10,625.87622,0.11177,1.67656,59.43856,3,1
10.1,623.54602,0.11289,1.69337,59.21727,3,1
10.2,621.27838,0.11401,1.71012,59.00191,3,1
10.3,618.82031,0.11511,1.72662,58.76847,3,1
10.4,616.47382,0.11622,1.74331,58.54563,3,1
10.5,613.74084,0.11734,1.76006,58.28609,3,1
10.6,611.52826,0.11845,1.77669,58.07596,3,1
10.7,609.12811,0.11956,1.79344,57.84802,3,1
10.8,606.67584,0.12065,1.80981,57.61513,3,1
10.9,604.57086,0.12178,1.82669,57.41523,3,1
11,602.42792,0.1229,1.84344,57.21171,3,1
11.1,600.02716,0.124,1.85994,56.98372,3,1
11.2,597.6712,0.1251,1.87656,56.75998,3,1
11.3,595.55328,0.12623,1.89344,56.55884,3,1
11.4,593.25073,0.12733,1.91,56.34017,3,1
11.5,591.10754,0.12845,1.92675,56.13663,3,1
11.6,588.5155,0.12955,1.94325,55.89047,3,1
11.7,502.14148,0.13067,1.96006,47.68765,3,1
11.708,387.50848,0.13077,1.9615,36.80112,3,1
0,1.22772,0.00017,0.00262,0.05943,4,1
0.1,19.70591,0.00157,0.02394,0.95391,4,1
0.2,52.71967,0.00269,0.041,2.55202,4,1
0.3,82.85551,0.00379,0.05781,4.01082,4,1
0.4,112.50735,0.0049,0.07469,5.44619,4,1
0.5,141.63841,0.00599,0.09137,6.85635,4,1
0.6,170.79485,0.00708,0.10794,8.26773,4,1
0.7,199.15886,0.00817,0.12462,9.64076,4,1
0.8,228.13443,0.00927,0.14137,11.04339,4,1
0.9,256.16034,0.01036,0.15794,12.40005,4,1
1,283.94983,0.01145,0.17456,13.74527,4,1
1.1,311.61377,0.01254,0.19125,15.08441,4,1
1.2,339.22717,0.01364,0.20806,16.4211,4,1
1.3,365.92535,0.01473,0.22462,17.71349,4,1
1.4,343.39838,0.01581,0.24112,16.62302,4,1
1.5,372.82831,0.01692,0.25806,18.04765,4,1
1.6,400.63931,0.01802,0.27475,19.39391,4,1
1.7,427.19714,0.0191,0.29131,20.6795,4,1
1.8,453.12167,0.02019,0.30787,21.93444,4,1
1.9,479.11197,0.02129,0.32469,23.19256,4,1
2,504.51212,0.02239,0.34137,24.42212,4,1
2.1,529.34338,0.02347,0.35787,25.62413,4,1
2.2,553.64191,0.02457,0.37462,26.80036,4,1
2.3,578.24646,0.02566,0.39137,27.9914,4,1
2.4,602.37128,0.02675,0.40794,29.15922,4,1
2.5,625.47845,0.02784,0.42462,30.27778,4,1
2.6,648.9068,0.02894,0.44131,31.41189,4,1
2.7,672.27252,0.03004,0.45806,32.54296,4,1
2.8,694.58594,0.03113,0.47469,33.6231,4,1
2.9,716.41248,0.03221,0.49119,34.67966,4,1
3,738.7713,0.03331,0.508,35.76199,4,1
3.1,760.68243,0.03441,0.52469,36.82265,4,1
3.2,781.85919,0.0355,0.54137,37.84777,4,1
3.3,802.20374,0.03658,0.55787,38.83259,4,1
3.4,823.21063,0.03769,0.57475,39.84948,4,1
3.5,843.42194,0.03878,0.59144,40.82786,4,1
3.6,862.7373,0.03986,0.60787,41.76286,4,1
3.7,881.77954,0.04096,0.62469,42.68465,4,1
3.8,901.12909,0.04206,0.64144,43.62131,4,1
3.9,919.32275,0.04314,0.65787,44.50202,4,1
4,937.13495,0.04424,0.67462,45.36426,4,1
4.1,954.88727,0.04533,0.69125,46.22361,4,1
4.2,972.02557,0.04643,0.70806,47.05323,4,1
4.3,988.5921,0.04752,0.72475,47.85517,4,1
4.4,1004.39581,0.0486,0.74119,48.62019,4,1
4.5,1020.10071,0.04971,0.75806,49.38042,4,1
4.6,1035.48499,0.0508,0.77475,50.12513,4,1
4.7,1049.63281,0.05189,0.79125,50.80999,4,1
4.8,1063.39954,0.05298,0.80787,51.4764,4,1
4.9,1077.2854,0.05409,0.82481,52.14858,4,1
5,1090.0874,0.05518,0.84144,52.76829,4,1
5.1,1102.42163,0.05626,0.858,53.36536,4,1
5.2,1113.52563,0.05735,0.87462,53.90287,4,1
5.3,1124.80334,0.05846,0.8915,54.4488,4,1
5.4,1135.16809,0.05954,0.908,54.95053,4,1
5.5,1144.35938,0.06063,0.92456,55.39545,4,1
5.6,1153.09558,0.06173,0.94137,55.81835,4,1
5.7,1161.70447,0.06282,0.95806,56.23508,4,1
5.8,1168.89697,0.06391,0.97469,56.58326,4,1
5.9,1175.76221,0.065,0.99125,56.91558,4,1
6,1181.34143,0.0661,1.008,57.18566,4,1
6.1,1186.79028,0.0672,1.02475,57.44942,4,1
6.2,1190.94092,0.06829,1.04137,57.65035,4,1
6.3,1194.20752,0.06936,1.05781,57.80848,4,1
6.4,1197.14246,0.07048,1.07481,57.95055,4,1
6.5,1198.74194,0.07157,1.09137,58.02797,4,1
6.6,1199.52893,0.07265,1.10787,58.06607,4,1
6.7,1199.74854,0.07375,1.12469,58.0767,4,1
6.8,1199.25818,0.07485,1.14144,58.05296,4,1
6.9,1197.2688,0.07593,1.15787,57.95666,4,1
6.944,672.89856,0.07643,1.16556,32.57327,4,1
0,1.04737,0,0,0.05099,5,1
0.1,13.24763,0.00089,0.0135,0.64492,5,1
0.2,49.49321,0.00216,0.03294,2.40941,5,1
0.3,76.94538,0.00327,0.04981,3.74583,5,1
0.4,104.28005,0.00437,0.06669,5.07653,5,1
0.5,131.30148,0.00547,0.08337,6.39198,5,1
0.6,157.63185,0.00656,0.1,7.67379,5,1
0.7,183.77779,0.00765,0.11662,8.94662,5,1
0.8,209.68127,0.00874,0.13331,10.20764,5,1
0.9,235.42027,0.00984,0.15006,11.46066,5,1
1,260.43298,0.01092,0.16656,12.67832,5,1
1.1,240.36932,0.01201,0.18312,11.70159,5,1
1.2,268.96841,0.01312,0.20006,13.09384,5,1
1.3,294.75531,0.01421,0.21669,14.34919,5,1
1.4,319.27368,0.01529,0.23319,15.54279,5,1
1.5,343.8736,0.01639,0.24987,16.74035,5,1
1.6,368.1178,0.01749,0.26675,17.9206,5,1
1.7,391.75845,0.01858,0.28331,19.07147,5,1
1.8,414.98099,0.01966,0.29987,20.20198,5,1
1.9,438.23138,0.02077,0.31669,21.33385,5,1
2,461.42731,0.02186,0.33331,22.46307,5,1
2.1,483.53848,0.02295,0.35,23.53948,5,1
2.2,505.80191,0.02404,0.36662,24.6233,5,1
2.3,527.94946,0.02514,0.38331,25.70148,5,1
2.4,549.53119,0.02623,0.40006,26.75211,5,1
2.5,570.75647,0.02732,0.41662,27.7854,5,1
2.6,591.10675,0.0284,0.43312,28.77608,5,1
2.7,612.50879,0.02951,0.45006,29.81797,5,1
2.8,633.06696,0.0306,0.46669,30.81878,5,1
2.9,652.94586,0.03169,0.48325,31.78652,5,1
3,672.86047,0.03279,0.5,32.75599,5,1
3.1,692.42615,0.03388,0.51669,33.70848,5,1
3.2,711.72699,0.03498,0.53337,34.64808,5,1
3.3,730.4834,0.03606,0.54994,35.56118,5,1
3.4,748.68805,0.03716,0.56662,36.44741,5,1
3.5,766.75146,0.03826,0.58344,37.32677,5,1
3.6,784.448,0.03934,0.6,38.18826,5,1
3.7,801.31348,0.04043,0.61656,39.0093,5,1
3.8,818.59583,0.04154,0.63344,39.85064,5,1
3.9,834.75641,0.04263,0.65006,40.63736,5,1
4,850.65356,0.04371,0.66656,41.41126,5,1
4.1,866.43042,0.0448,0.68325,42.17931,5,1
4.2,881.62665,0.0459,0.7,42.91909,5,1
4.3,896.71722,0.047,0.71675,43.65372,5,1
4.4,910.62646,0.04809,0.73331,44.33084,5,1
4.5,924.56561,0.04917,0.74987,45.00943,5,1
4.6,938.07599,0.05028,0.76681,45.66713,5,1
4.7,950.96826,0.05136,0.78331,46.29475,5,1
4.8,963.1004,0.05245,0.79987,46.88536,5,1
4.9,975.12976,0.05356,0.81675,47.47097,5,1
5,986.68353,0.05465,0.83337,48.03343,5,1
5.1,997.12701,0.05574,0.85006,48.54184,5,1
5.2,1007.39587,0.05682,0.86656,49.04174,5,1
5.3,1017.32184,0.05793,0.88337,49.52496,5,1
5.4,1026.4303,0.05902,0.90012,49.96837,5,1
5.5,1035.0498,0.06011,0.91662,50.38799,5,1
5.6,1043.07483,0.06119,0.93312,50.77866,5,1
5.7,1050.54602,0.0623,0.95012,51.14237,5,1
5.8,1057.69543,0.06339,0.96669,51.49041,5,1
5.9,1063.60168,0.06448,0.98331,51.77794,5,1
6,1069.53796,0.06557,0.99994,52.06693,5,1
6.1,1074.77637,0.06666,1.01662,52.32194,5,1
6.2,1079.43933,0.06776,1.03337,52.54894,5,1
6.3,1082.93262,0.06885,1.04994,52.719,5,1
6.4,1086.07617,0.06995,1.06669,52.87204,5,1
6.5,1088.88879,0.07105,1.0835,53.00896,5,1
6.6,1090.49597,0.07213,1.1,53.0872,5,1
6.7,1091.13831,0.07322,1.11656,53.11847,5,1
6.8,1091.48145,0.07432,1.13337,53.13517,5,1
6.9,1089.55945,0.07541,1.15,53.04161,5,1
6.942,630.84155,0.07588,1.15719,30.71044,5,1
