Time (s),Load (N),Tensile strain (Extension) (mm/mm),Tensile extension (mm),Tensile stress (MPa),Sample,Mix
7.3,742.3985,0.08042,1.22637,39.49769,4,2
7.4,745.36469,0.0815,1.24287,39.65549,4,2
7.5,748.62726,0.08261,1.25981,39.82907,4,2
7.6,750.79327,0.0837,1.27637,39.94431,4,2
7.7,753.35822,0.08479,1.293,40.08078,4,2
7.8,755.13123,0.08587,1.30956,40.1751,4,2
7.9,756.82001,0.08697,1.32631,40.26495,4,2
8,758.43994,0.08807,1.34312,40.35114,4,2
8.1,759.12524,0.08915,1.35956,40.3876,4,2
8.2,759.71027,0.09025,1.37631,40.41872,4,2
8.3,760.30847,0.09135,1.39312,40.45055,4,2
8.4,760.07629,0.09243,1.40956,40.43819,4,2
8.5,760.02985,0.09352,1.42625,40.43572,4,2
8.6,759.29108,0.09463,1.44306,40.39642,4,2
8.7,758.54974,0.09572,1.45969,40.35698,4,2
8.8,757.40417,0.09682,1.47644,40.29603,4,2
8.9,755.63074,0.0979,1.493,40.20168,4,2
9,753.73254,0.099,1.50969,40.10069,4,2
9.1,751.68994,0.10009,1.52644,39.99202,4,2
9.2,749.00519,0.10118,1.54294,39.84918,4,2
9.3,746.66113,0.10227,1.55956,39.72447,4,2
9.4,743.59222,0.10338,1.5765,39.5612,4,2
9.5,740.51154,0.10446,1.593,39.39729,4,2
9.6,736.90924,0.10555,1.60956,39.20564,4,2
9.7,733.27948,0.10665,1.62637,39.01253,4,2
9.8,729.68341,0.10774,1.64306,38.82121,4,2
9.9,725.84497,0.10884,1.65975,38.61699,4,2
10,721.68201,0.10991,1.67619,38.39551,4,2
10.1,717.95007,0.11102,1.693,38.19696,4,2
10.2,713.91833,0.11212,1.70987,37.98246,4,2
10.3,709.5957,0.1132,1.72625,37.75249,4,2
10.4,705.54834,0.11429,1.74294,37.53716,4,2
10.5,701.94843,0.1154,1.75981,37.34563,4,2
10.6,697.83008,0.11648,1.77631,37.12652,4,2
10.7,693.62384,0.11758,1.79306,36.90274,4,2
10.8,689.96606,0.11866,1.8095,36.70813,4,2
10.9,686.2464,0.11976,1.82637,36.51024,4,2
11,682.81683,0.12086,1.84312,36.32777,4,2
11.1,679.04639,0.12193,1.8595,36.12717,4,2
11.2,675.54468,0.12305,1.8765,35.94088,4,2
11.3,672.46484,0.12414,1.89312,35.77702,4,2
11.4,669.10571,0.12522,1.90956,35.5983,4,2
11.5,666.29303,0.12632,1.92631,35.44866,4,2
11.6,663.15808,0.12741,1.943,35.28187,4,2
11.7,660.39636,0.12851,1.95975,35.13494,4,2
11.8,657.51093,0.1296,1.97637,34.98143,4,2
11.9,654.96027,0.13068,1.99281,34.84573,4,2
12,652.68469,0.13179,2.00975,34.72466,4,2
12.1,650.06348,0.13288,2.02644,34.58521,4,2
12.2,647.62433,0.13396,2.04287,34.45543,4,2
12.3,645.40723,0.13506,2.05962,34.33748,4,2
12.4,643.28082,0.13616,2.07644,34.22435,4,2
12.5,641.1521,0.13725,2.09306,34.1111,4,2
12.6,639.16113,0.13834,2.10962,34.00517,4,2
12.7,637.20178,0.13943,2.12637,33.90092,4,2
12.8,635.24817,0.14053,2.14306,33.79699,4,2
12.9,633.46283,0.14162,2.15969,33.702,4,2
13,631.57654,0.1427,2.17619,33.60165,4,2
13.1,629.94244,0.1438,2.193,33.51471,4,2
13.2,628.39423,0.14491,2.20981,33.43234,4,2
13.3,626.73383,0.14599,2.22631,33.344,4,2
13.4,624.87225,0.14708,2.24294,33.24496,4,2
13.5,623.50629,0.14817,2.25962,33.17229,4,2
13.6,621.74292,0.14927,2.27637,33.07847,4,2
13.7,619.96045,0.15036,2.29306,32.98364,4,2
13.8,618.05865,0.15144,2.30944,32.88246,4,2
13.9,616.46619,0.15255,2.32644,32.79773,4,2
14,614.50562,0.15365,2.34312,32.69342,4,2
14.1,612.14917,0.15472,2.3595,32.56806,4,2
14.2,609.66351,0.15584,2.3765,32.43581,4,2
14.3,606.02069,0.15692,2.39306,32.242,4,2
14.372,446.14157,0.15771,2.40506,23.73598,4,2
0,1.31014,0.00036,0.00544,0.12413,3,2
0.1,16.75251,0.00178,0.02675,1.58725,3,2
0.2,29.02918,0.00292,0.04375,2.75043,3,2
0.3,40.94808,0.00403,0.0605,3.87972,3,2
0.4,52.70107,0.00516,0.07737,4.99328,3,2
0.5,63.96272,0.00627,0.094,6.06029,3,2
0.6,75.07722,0.00737,0.11062,7.11336,3,2
0.7,86.1706,0.00849,0.12737,8.16442,3,2
0.8,97.0571,0.0096,0.144,9.19589,3,2
0.9,108.11744,0.01071,0.16069,10.24383,3,2
1,118.6246,0.01181,0.17719,11.23935,3,2
1.1,129.08575,0.01293,0.19394,12.23052,3,2
1.2,139.60332,0.01405,0.21075,13.22703,3,2
1.3,150.08008,0.01515,0.22725,14.21967,3,2
